proccd_text,violence,svm_preictions,svm_0_probabilities(non_violence),svm_1_probabilities(violence)
guide whats going,0,0,0.958028803,0.041971197
plz look woman mum people taking care people forces,0,0,0.787838311,0.212161689
went film civil,0,0,0.937464222,0.062535778
akp power also impact swing votes se,0,0,0.973266051,0.026733949
live tv record trees trees,0,0,0.79695522,0.20304478
want say life city gov said ali,0,0,0.966646587,0.033353413
spent around police worse ever saw baku tiflis past sad,0,0,0.786738322,0.213261678
leave roads never get,0,0,0.954796797,0.045203203
blames unrest coward,0,0,0.932720954,0.067279046
new blog social media fueled style,0,0,0.933225737,0.066774263
hate today could use least,0,0,0.930344564,0.069655436
social media worst menace says users via,0,0,0.913170221,0.086829779
post edited letup,0,0,0.932720954,0.067279046
tv airing fill void,0,0,0.938433305,0.061566695
urkish social use,0,0,0.893441793,0.106558207
middle police attack htt,1,1,0.590953887,0.409046113
seems little top tear gas water photos,1,0,0.775104056,0.224895944
across cities riot police turned,1,0,0.88611472,0.11388528
point view wont stop,0,0,0.936339041,0.063660959
coming main used,0,0,0.870607246,0.129392754
liked video piano square,0,0,0.94002435,0.05997565
find new whose form plant trees dictat,0,0,0.873115545,0.126884455
police wait come photo square police police move square update wind clears gas back,1,1,0.031625547,0.968374453
dont kurds media comes,0,0,0.927861294,0.072138706
bbc news square,0,0,0.938040635,0.061959365
cant see pls make wanna see,0,0,0.978843038,0.021156962
cities world come june public spaces show,0,0,0.982068387,0.017931613
square kurds via,0,0,0.915998444,0.084001556
police fight rich today examp,0,0,0.765654821,0.234345179
cheers guys come mwi,0,0,0.959466846,0.040533154
full gl calls,0,0,0.941662271,0.058337729
jumaa lovely ya nabi video share,0,0,0.944663655,0.055336345
heavy police avoid square,1,0,0.690389698,0.309610302
flares post news post,0,0,0.943931881,0.056068119
dress photos live blog,1,0,0.944750735,0.055249265
go bid group bid think,0,0,0.925361933,0.074638067
cannot host please pay,0,0,0.932720954,0.067279046
mahmut tanal police pepper gas put,0,1,0.411635913,0.588364087
cia arms syria rebels bases set jordan,0,0,0.938212557,0.061787443
mayor even kids tear gas fier,1,1,0.473632583,0.526367417
healed set free gorge,0,0,0.932720954,0.067279046
call world press needs police terror,0,0,0.870624524,0.129375476
war waged dare stand speak,0,0,0.910473751,0.089526249
join berlin march,0,0,0.932720954,0.067279046
deputy seeks calm anti deputy prime,0,0,0.915829183,0.084170817
act send end abuse reveal extent pls occup,0,0,0.870609969,0.129390031
david shows new breast iddba,0,0,0.931326253,0.068673747
tried sum far guy please,0,0,0.92327103,0.07672897
ankara summon german envoy tit tat move now eng,0,0,0.939071141,0.060928859
avril would make eat would olives meat,0,0,0.977348188,0.022651812
yes main issue ngos cannot young people leave,0,0,0.933650933,0.066349067
human desire space parks trees,0,0,0.875534461,0.124465539
trying best well en,0,0,0.937609303,0.062390697
guilt made ground,0,0,0.932720954,0.067279046
real turks view,0,0,0.852830608,0.147169392
edo shop also said people need place stay shop tokyo,0,0,0.835107602,0.164892398
long akp peers lives live,0,0,0.964543243,0.035456757
little bit going,0,0,0.896103445,0.103896555
media see syria events gaza,0,0,0.855945271,0.144054729
view ten tweets,0,0,0.825082298,0.174917702
police mobs tvs live scenes,1,0,0.772895323,0.227104677
today longer world joins cause th,0,0,0.98805817,0.01194183
least police clash,1,1,0.534266655,0.465733345
enjoy cereal bars sushi might,0,0,0.932720954,0.067279046
plenty going ankara izmir bursa seeing lts etc,0,0,0.96219095,0.03780905
crazy think filled hours happy pride,0,0,0.93927156,0.06072844
year old man died taxi drove group,1,0,0.897718972,0.102281028
sure mean giving,0,0,0.932720954,0.067279046
canim hain please spread word tayyip,1,0,0.858417752,0.141582248
fueled style yes need,0,0,0.950534861,0.049465139
hey roger give pls,0,0,0.932720954,0.067279046
shit hits fan police,1,0,0.772863308,0.227136692
know main party chp syrian regime assad,0,0,0.970651215,0.029348785
says police would target sit square,0,1,0.648420917,0.351579083
buddy jose zapata stop listen,0,0,0.936339041,0.063660959
threat health today dir,0,0,0.963770937,0.036229063
police forced lots tents pol,0,0,0.772863308,0.227136692
syria untest quran,0,0,0.938212557,0.061787443
pics man sheep back sheep market sup,0,0,0.94644926,0.05355074
dear treats via,0,0,0.908782486,0.091217514
urgent erdoan stop join,0,0,0.956571986,0.043428014
abuses calls urgent action via,0,0,0.970167283,0.029832717
bbc cnn world see happen,0,0,0.973648997,0.026351003
things need things need things need good things need psst jim beam wild better craft things need things need upside ya got nice want save stop police site,0,0,0.986372672,0.013627328
unseen day people qs hurt public,0,0,0.868131252,0.131868748
folks follow photos ig photo,0,0,0.814090491,0.185909509
name cop shot killed got,0,0,0.766740688,0.233259312
piece eu sorry wrong member nation,0,0,0.890401205,0.109598795
stock market last seven seat,0,0,0.932720954,0.067279046
eu talks wake ankara mass,0,0,0.955874799,0.044125201
wrote almost killed real,0,1,0.578522738,0.421477262
behind looms via,0,0,0.932720954,0.067279046
rebuke vision resign tayyip resign,0,0,0.963952563,0.036047437
police hold siege raid th day,0,0,0.807257095,0.192742905
waving crowd wife crowd going wild proud,0,0,0.970841484,0.029158516
fresh anti hit europe al,0,0,0.920028305,0.079971695
erdo gone future hang via,0,0,0.932720954,0.067279046
please bump justin idol afford please angus ily,0,0,0.932720954,0.067279046
police wants shut press,0,0,0.768903182,0.231096818
unrest goes third day uk news,0,0,0.936208996,0.063791004
team launch bags pack yet,0,0,0.943879999,0.056120001
join mass reach cities,0,0,0.915631974,0.084368026
ham sunny side egg bacon pepper jack cheese mango know,0,0,0.943355799,0.056644201
ankara police block raid tear gas,0,1,0.282514558,0.717485442
hyper world never cold public,0,0,0.970505811,0.029494189
say av ever month away summer,0,0,0.952996833,0.047003167
crowd sq right live stream,0,0,0.867637833,0.132362167
bbc ntv news,0,0,0.947558006,0.052441994
city rocked police via,1,0,0.840770758,0.159229242
bad day still better good day love ever,0,0,0.96450592,0.03549408
attack post trial,0,0,0.839594938,0.160405062
police city fire tear gas,1,1,0.629985702,0.370014298
please us media,0,0,0.902518776,0.097481224
staid egypt burns arabic yemen libya syria turk,0,0,0.919568531,0.080431469
today myrtle beach sc ethos,0,0,0.963770937,0.036229063
update feels home last,0,0,0.870639805,0.129360195
young people iran ones,1,0,0.899007487,0.100992513
police kickin person stuck police tell world police people,1,1,0.141105527,0.858894473
police launch hours gave final,0,0,0.816342194,0.183657806
link police state spread every,1,1,0.597541777,0.402458223
line greece team vs points assist foul,0,0,0.959779963,0.040220037
thing called right,0,0,0.917843106,0.082156894
cnn bbc usa uk un eu france spain russia brazil china,0,0,0.880288117,0.119711883
trt state saying enough good,0,0,0.946482821,0.053517179
since asked full police,1,0,0.772863308,0.227136692
police ready put masks,0,0,0.772863308,0.227136692
well akp area said,0,0,0.964536849,0.035463151
square last night,0,0,0.976075852,0.023924148
help us spread news,0,0,0.860052431,0.139947569
stop start love human,0,0,0.968950069,0.031049931
every bring party lol sounds like,0,0,0.956212839,0.043787161
meal lovely must sees love town,0,0,0.967076154,0.032923846
meat better meat,0,0,0.932720954,0.067279046
people follow people making strong stand auth,0,0,0.73140691,0.26859309
sports club others,0,0,0.932720954,0.067279046
first time pesto ok wings,0,0,0.908782486,0.091217514
secret police agents square oldest trick kgb,1,0,0.727994953,0.272005047
follow photo taken user gorkem,0,0,0.772800803,0.227199197
people two days anti say police,0,1,0.514782102,0.485217898
guinea fowl wings wan cont,0,0,0.932720954,0.067279046
one man fucks,0,0,0.94644926,0.05355074
banks slide calls people switch state run banks,0,0,0.904489415,0.095510585
said police trees origin cause,0,1,0.631660447,0.368339553
help syria rebels salam peace good night daily images blog alysaa miller harper bazaar daily images partly sums slowly dark draped,0,0,0.98866287,0.01133713
dozens tweets hatred news,0,0,0.856787312,0.143212688
round dance around world,0,0,0.965322747,0.034677253
new form hours,0,0,0.94434001,0.05565999
photos via rabble scenes,0,0,0.944740919,0.055259081
dear syrian know,0,0,0.959307552,0.040692448
media tv go live anyone,0,0,0.910564394,0.089435606
get one idea going two weeks,0,0,0.958028803,0.041971197
use gas crowd war crime,1,0,0.787780106,0.212219894
guide whats going,0,0,0.958028803,0.041971197
people open offer food,0,0,0.877656736,0.122343264
events sad bc,1,0,0.885755551,0.114244449
could beat ballot box trying,0,0,0.928605404,0.071394596
german court says swayed ecb bond buying,0,0,0.90611842,0.09388158
police using gas week used ca,0,1,0.554359517,0.445640483
prove added water called jenix,0,0,0.900160113,0.099839887
please police people ankara right,0,1,0.482728189,0.517271811
north set sixth record spring learn,0,0,0.932720954,0.067279046
office field part,0,0,0.932720954,0.067279046
least police clash,1,1,0.534266655,0.465733345
pls police road ethem tell good reason,0,0,0.819064847,0.180935153
turns police crack,1,0,0.772863308,0.227136692
omg people dying whole,0,0,0.877656736,0.122343264
cia arms syrian rebels via bases,0,0,0.932720954,0.067279046
groups wants thanks god,0,0,0.932720954,0.067279046
public qh cu kj,1,0,0.938433305,0.061566695
police crowd tens square gas sent,1,1,0.59496485,0.40503515
debate offer forums weighs aga,0,0,0.932720954,0.067279046
please sign people thanks end abuse reveal extent act,0,0,0.776872534,0.223127466
mall opened doors people away gas,1,0,0.866550273,0.133449727
toilet roman flush toilet travel photo ttot,0,0,0.882233741,0.117766259
visit says visit,0,0,0.90611842,0.09388158
rain nice week,0,0,0.940406711,0.059593289
ronna mz salamm plane forget idea least one tweet per,0,0,0.932720954,0.067279046
shops hotels homes wifi people still,0,0,0.877656736,0.122343264
mosque turned dump,0,0,0.94467085,0.05532915
police push square near,0,0,0.727994953,0.272005047
please save hyde needed saved tnku,0,0,0.932720954,0.067279046
dont shoot human rights press,0,0,0.947561582,0.052438418
united crowds soccer clubs fbahce gsaray meet via,0,0,0.901271249,0.098728751
award carly rae teen music best teen girl song call maybe,0,0,0.89056887,0.10943113
riot police clash,0,0,0.724007488,0.275992512
semi police shot dead ethem court ruled fired,0,0,0.772863308,0.227136692
would like go way go dwt inonu,0,0,0.928573439,0.071426561
ask many people days police taksi,0,1,0.636023162,0.363976838
weeks ago obama erdoan lose home,0,0,0.964628794,0.035371206
rights speak freely open modern,0,0,0.932720954,0.067279046
bbc news return trip,0,0,0.95095947,0.04904053
mom warm weeks old dinner expect taste,0,0,0.868447266,0.131552734
easy chili win,0,0,0.91426945,0.08573055
erdoan curse called social media curse,0,0,0.964615417,0.035384583
sexist anti gov around meet french consu,0,0,0.920460835,0.079539165
even wants shoot cook,0,0,0.932720954,0.067279046
justin kam kom gel,0,0,0.932720954,0.067279046
spent around police worse ever saw baku tiflis past sad,1,0,0.786738322,0.213261678
greece never safe deep greek police,0,0,0.772863308,0.227136692
watch folks part going one minute via least two killed diren happy thanks vegan vegan gifts,0,0,0.918735133,0.081264867
never come find love life,0,0,0.981294122,0.018705878
police taking sd cards,0,0,0.772863308,0.227136692
menace called prime,0,0,0.943879999,0.056120001
videos decoys like one else,0,0,0.932720954,0.067279046
real side live tv would show well,0,0,0.864360888,0.135639112
friend asked taping id order us things get,0,0,0.908782486,0.091217514
many trust trust silent press,0,0,0.93130019,0.06869981
riot police move clear,1,0,0.898003527,0.101996473
flying low ankara diren,0,0,0.939071141,0.060928859
people daily online,0,0,0.877656736,0.122343264
sooner go better,0,0,0.932720954,0.067279046
plse tweet need pray,0,0,0.950534861,0.049465139
dog tear gas,0,0,0.818153898,0.181846102
th world number made truce pkk,0,0,0.976415267,0.023584733
least passes chance wc,0,0,0.932720954,0.067279046
brutal action save pics story,1,0,0.963745916,0.036254084
last tree final straw via,0,0,0.949310778,0.050689222
share videos via,0,0,0.932720954,0.067279046
says sales people victim curb,0,0,0.833175752,0.166824248
bruce willis let people dying,0,0,0.914765103,0.085234897
seeing wrong grates nerves wicked,0,0,0.932720954,0.067279046
falls media via,0,0,0.902518776,0.097481224
top story faces fury erupts mass,0,0,0.971107625,0.028892375
uk tv usa news caught riots,0,0,0.885207977,0.114792023
union strike unrest,0,0,0.932720954,0.067279046
steps back final trying strike deal,0,0,0.928605404,0.071394596
occupy put first way class people elite,0,0,0.870585685,0.129414315
album tear gas used across let know,1,0,0.835679357,0.164320643
prime cnn bbc news via sure,0,0,0.960038709,0.039961291
yup pretty sure,0,0,0.932720954,0.067279046
bbc world tv would like speak us please get,0,0,0.970505811,0.029494189
proof akp youth sticks hand,1,0,0.954857523,0.045142477
ignore bc usa pls pray help,0,0,0.883755737,0.116244263
fire shots fired syria via,0,0,0.938212557,0.061787443
hrvp ashton latest,0,0,0.940590225,0.059409775
hill buy one get one free lol,0,0,0.969841559,0.030158441
gas use tear gas time,0,1,0.418254353,0.581745647
sunny izmir maana en izmir co vjow,0,0,0.932720954,0.067279046
izmir globe times,0,0,0.932720954,0.067279046
stop small green space,0,0,0.936339041,0.063660959
quartz daily checks raises sprint bid,0,0,0.932720954,0.067279046
vines photos video,0,0,0.956789776,0.043210224
visit says visit,0,0,0.90611842,0.09388158
mt says eu tr member,0,0,0.849760552,0.150239448
set halt cops back sq hoping people,0,0,0.729160555,0.270839445
police attack unable person square via,1,1,0.5,0.5
like fuck year since,0,0,0.932720954,0.067279046
state press says bbc journo called quoted,0,0,0.927575763,0.072424237
though crisis likely,0,0,0.932720954,0.067279046
photo people light square cc,1,1,0.58034441,0.41965559
thanks vlad great video audio live,0,0,0.980658719,0.019341281
prime master he,0,0,0.932720954,0.067279046
cnn europe new hitler,0,0,0.944170153,0.055829847
bbc never saw much thrown life,0,0,0.938912507,0.061087493
days one iraq one sirya safe one one one one days,0,0,0.932720954,0.067279046
good luck abi en buyuk cimbom,0,0,0.946482821,0.053517179
says made across,0,0,0.90611842,0.09388158
pack square across video photos news,0,0,0.95668825,0.04331175
seen almost life tv except,0,0,0.94471501,0.05528499
locked people plan march occupy,1,0,0.886402782,0.113597218
tweet makes think gonna mob,1,0,0.925392016,0.074607984
report square crowd chants tayyip resign,0,0,0.875037496,0.124962504
white house calls calm rage,0,0,0.941662271,0.058337729
abuse state power media,0,0,0.924880019,0.075119981
oped enjoy basic rights rule,0,0,0.932720954,0.067279046
place time via,0,0,0.908782486,0.091217514
post square camp,0,0,0.915998444,0.084001556
think police terror ended check ankara,0,0,0.771844271,0.228155729
raid live come watch chat,0,0,0.979800136,0.020199864
night beach party bbq glory,0,0,0.981162834,0.018837166
find read honest fair social,0,0,0.959027386,0.040972614
kill us saying ever,0,0,0.932720954,0.067279046
group middle class turks says htt,0,0,0.915649479,0.084350521
dial access around road new,0,0,0.945259142,0.054740858
dont take gov media,0,0,0.931880101,0.068119899
hope stay safe free dreams hopes fears way,0,0,0.946019733,0.053980267
post police attack ista,1,1,0.562599963,0.437400037
recep tayyip barack obama drinks vote,0,0,0.932720954,0.067279046
latvia live stream june,0,0,0.932732398,0.067267602
rolled show yacht,0,0,0.932720954,0.067279046
good luck five young mufc fifa world starts,0,0,0.978920806,0.021079194
think want bacon got geeked,0,0,0.958594141,0.041405859
hear people sing les simply aw,0,0,0.877656736,0.122343264
father told young riots means,0,0,0.909091215,0.090908785
really juicy really juicy,0,0,0.736481077,0.263518923
turn upside via,0,0,0.87780922,0.12219078
horse horse world,0,0,0.965322747,0.034677253
big party music cops firing gas watch live,1,0,0.892697106,0.107302894
digger inside spot,0,0,0.932720954,0.067279046
idea man new symbol,0,0,0.945287362,0.054712638
home need pack ahh,0,0,0.950534861,0.049465139
oh soaked water cannon tear gas glad say camera fine,0,1,0.520373989,0.479626011
stands past hour show,0,0,0.932720954,0.067279046
fawkxy begun ntv major role,0,0,0.932720954,0.067279046
make bacon yess,0,0,0.980088938,0.019911062
labs buys data inkuru,0,0,0.932720954,0.067279046
police attack square,0,1,0.399196882,0.600803118
tv hayat tv shut bcz,0,0,0.941252061,0.058747939
claims says menace,0,0,0.90611842,0.09388158
expect talk base insult akp,0,0,0.950905736,0.049094264
wanna go back really bad hate,0,0,0.869561106,0.130438894
quit hes ahead op edge,0,0,0.932720954,0.067279046
far know matter interf,0,0,0.966229516,0.033770484
bbc news pack square police,1,0,0.893280172,0.106719828
police crowd human chain strong tear almost empty,1,0,0.703173942,0.296826058
haha na summer,0,0,0.932720954,0.067279046
risks show poet says jailed,0,0,0.90611842,0.09388158
police storm square riot police fire fight back,0,1,0.421255513,0.578744487
inside divan hotel next via foto,0,0,0.986350066,0.013649934
loud right sounds like police,0,0,0.752661836,0.247338164
social please spread,0,0,0.882789701,0.117210299
police attack ngos decide camp,1,1,0.562599963,0.437400037
oopps spent way much well least reem,0,0,0.928573439,0.071426561
curbs bring cheer,0,0,0.932720954,0.067279046
malls excuse people fed,0,0,0.877656736,0.122343264
geez soipl friend sent image frm,0,0,0.908782486,0.091217514
dont see calls dumb doesnt know bacon made rolls around snow stay white lmfao,0,0,0.984712573,0.015287427
bella ciao sang last night square piano,0,0,0.978590849,0.021409151
shaved granny smith apple,0,0,0.932720954,0.067279046
vs israel beach,0,0,0.949252875,0.050747125
update feels home last,0,0,0.870639805,0.129360195
pics today izmir welt,0,0,0.963770937,0.036229063
took mt man gas mask top center,1,0,0.884559305,0.115440695
free vpn access people mon note whole world,0,0,0.949863203,0.050136797
govt needs upper cutted,0,0,0.93130019,0.06869981
take love much turks repost going moment new page us big clean parki whole star right people trying assist dog also tear gas police gather square heavy police,1,1,0.166115274,0.833884726
attack please go live,0,0,0.839619499,0.160380501
hot air high fairey,0,0,0.932720954,0.067279046
must find way,0,0,0.928573439,0.071426561
bella ciao sang last night square piano,0,0,0.978590849,0.021409151
bloody friday via,0,0,0.932720954,0.067279046
police use water ankara,1,1,0.322392845,0.677607155
solve issue kurd,0,0,0.932720954,0.067279046
start get makes smile sand beach,0,0,0.932748286,0.067251714
days till baby get sweat,0,0,0.932720954,0.067279046
tear gas greet save one last public parks,1,0,0.831839815,0.168160185
yep kind idea,0,0,0.932720954,0.067279046
change world one tweet,0,0,0.965322747,0.034677253
lawyer taken law blind dead,0,0,0.932720954,0.067279046
zero half good piece nice person gt,0,0,0.946482821,0.053517179
aint gettin paid tha way nigga bo come bags,0,0,0.956818771,0.043181229
rage bbc news bbc news,1,0,0.966099859,0.033900141
ran tank square,1,0,0.915998444,0.084001556
sexual abuse women,0,0,0.922048393,0.077951607
youth ground flag police force,0,0,0.731257342,0.268742658
let us go crash,0,0,0.952285737,0.047714263
photo angry birds mock,0,0,0.772800803,0.227199197
noam call world,0,0,0.965322747,0.034677253
always times revolt would join camp paid,0,0,0.932720954,0.067279046
chaos tear gas water live tv,0,0,0.889703844,0.110296156
really hope akp paying di,0,0,0.960118931,0.039881069
aerial view square turqua,0,0,0.915998444,0.084001556
