violence,protest,proccd_text,text
0,1,rt usrId i am nothing but the idea is important standing man or #duranadam new symbol of #turkey protests on #bbcnewsday,"RT @bbcworldservice: ""I am nothing but the idea is important"" 'Standing man' or #duranadam, new symbol of #Turkey protests on #BBCNewsday "
1,1,rt usrId turkish deputy pm apologizes for police aggression against initial istanbul httpAddress httpAddress,"RT @cnnbrk: Turkish deputy PM apologizes for ""police aggression"" against initial Istanbul protesters. http://t.co/gIpNQpgIvI"
0,1,rt usrId we as we in the park as we in the square are httpAddress our demands are clear ! #taksimdayanisma #diregaziparki #occupyge,"RT @TaksimSldrty: We, as we in the park, as we in the square, are sincere. Our demands are clear! #taksimdayanisma #diregaziparki #occupyge"
0,0,usrId hahaha cute ! not even that brown really just think when i come back from turkey how nice and colourful i will be,@meglightfoot hahaha cute! Not even that brown really just think when I come back from turkey how nice and colourful I will be
0,1,rt usrId turkish pm erdogan on return to istanbul protests bordering on illegality must end immediately usrId,"RT @BreakingNews: Turkish PM Erdogan, on return to Istanbul: Protests bordering on illegality, must end immediately - @AP"
1,1,rt usrId the police is blocking the press getting close to gezi parki and taksim so that their current brutal attack cannot be repo,RT @HazarMutgan: The police is blocking the press getting close to Gezi Parki and Taksim so that their current brutal attack cannot be repo
0,1,rt usrId i support all my fans from turkey who are protesting there government right now ! this is for you tayyipi sikeyim ! #turke,"RT @JohnnySins: I support all my fans from Turkey who are protesting there government right now! This is for you, 'Tayyipi Sikeyim!' #turke"
0,1,rt usrId turkey guess who has the contract to develop istanbul s gezi park ? 341951233139023872 tue jun DD 16 15 01 00 2013 rt usrId brutally tear gassed woman in red is symbol of turkey s occupy gezi httpAddress,"RT @TarekFatah: TURKEY: Guess who has the contract to develop Istanbul's Gezi Park?
341951233139023872,Tue Jun 04 16:15:01 +0000 2013,""RT @Jezebel: Brutally tear-gassed ""Woman in Red"" is symbol of Turkey's Occupy Gezi http://t.co/BBzvb89UdC"
0,1,rt usrId taksim now #direngeziparki httpAddress no words just wow ! #occupygezi via usrId,"RT @YourAnonNews: Taksim Now #direngeziparki http://t.co/Pr5s3cskki No Words, Just WOW! #occupygezi via @UnToldCarlisle"
1,1,rt usrId cnn report police crackdown triggers anti government riots httpAddress #occupygezi,"RT @YourAnonNews: CNN Report: ""Police crackdown triggers anti-government riots"" http://t.co/YzvKrzVG5J #occupygezi"
0,0,only a statesman can solve turkeys kurdish issue httpAddress #english #kurdistantribune kurd,Only a statesman can solve Turkeys Kurdish issue http://t.co/rMeKehcdtn #English #Kurdistantribune kurd
1,1,rt usrId turkish police violently attacking peacful protesters dersim hatay usrId usrId usrId usrId,RT @erdenkamil: Turkish police violently attacking peacful protesters DERSIM HATAY @washingtonpost @AlArabiya_Eng @AJALive @IsraelNewsNow 
0,1,rt usrId in a dictatorship one man fucks up the httpAddress in a democracy everyone does it httpAddress #occupygezi,"RT @TheTweetOfGod: In a dictatorship, one man fucks up the country. In a democracy, everyone does it together. #occupygezi"
0,1,httpAddress istanbul protesters are trying to walk to istiklal street from the back httpAddress #occupygezi,22.07: [Istanbul] Protesters are trying to walk to Istiklal Street from the back streets. #occupygezi
0,0,rt usrId #toilet history the roman flush toilet #travel #photo #turkey #offbeat #ttot httpAddress,RT @TheTravelTart: #Toilet History The Roman Flush Toilet #travel #photo #turkey #offbeat #ttot http://t.co/iSQxmUhGxu
0,1,rt usrId D h please help us #changebrazi #occupybrazil #occupygezi #todarevoluaocomeacomumafasca httpAddress,RT @JorgePontual 2 h Please Help Us: #changebrazi #OccupyBrazil #OccupyGezi #TodaRevoluaoComeaComUmaFasca http://t.co/2ZXb09zqqa
0,0,rt usrId enjoy cereal bars turkey burgers and sushi ? you might not after reading this httpAddress,"RT @UberFacts: Enjoy cereal bars, turkey burgers and sushi? You might not after reading this: http://t.co/8faAxHZdUy"
0,1,rt usrId #taksim has turned into a reverse #tahrir with the police camping in the square while protestors try and force them httpAddress,RT @jamesdoleman: #Taksim has turned into a reverse #Tahrir with the police camping in the square while protestors try and force them out.
1,1,#occupygezi rt usrId violence tear gas greet protests to save one of the last public parks in istanbul httpAddress,"#occupygezi RT @margafret: Violence, Tear Gas Greet Protests to Save One of the Last Public Parks in Istanbul http://t.co/j2rZIadeEw"
0,0,also red hack is in turkey fighting the good fight,also red hack is in turkey fighting the good fight
0,1,rt usrId live from taksim square httpAddress,RT @MITCoLab: Live from Taksim Square: http://t.co/AiFOIdKXZK
0,0,rt usrId follow our continued coverage of the situation in httpAddress photo taken by #fshotline user gorkem httpAddress httpAddress,RT @FSPTheHotline: Follow our continued coverage of the situation in #Turkey. Photo taken by #FSHotline user Gorkem Keser. http://t.co/C6eh
1,1,this seems a little over the top by the istanbul httpAddress usrId tear gas molotov cocktails water httpAddress httpAddress photos,"This seems a little over the top by the Istanbul police. @WSJ: Tear gas, molotov cocktails, water cannons. http://t.co/qQym9h051T PHOTOS"
0,0,dont know why i just ordered a turkey httpAddress that was httpAddress send httpAddress,Dont know why I just ordered a turkey burger. That was aggressive. Send help.
1,1,turkey deputy pm sorry for excessive force httpAddress #truth #freedom,Turkey deputy PM sorry for 'excessive force' http://t.co/XjCYartuzu #Truth #Freedom
0,1,protests show turks can t tolerate erdogan anymore aaron stein the atlantic httpAddress,Protests Show Turks Can't Tolerate Erdogan Anymore - Aaron Stein - The Atlantic http://t.co/U2VpNjbfrs
0,0,rt usrId cia and special operations troops have trained the rebels in anti tank and antiaircraft weaponry in jordan and turkey httpAddress,RT @__Atar___: CIA and special operations troops have trained the rebels in anti-tank and antiaircraft weaponry in Jordan and Turkey http:/
0,0,usrId ahh sick !! that s incredible i am soo jealous you poo head httpAddress turkey s good thankyou warm and sunny and hot,"@finfitzgerald ahhhh sick!! That's incredible I am soooo jealous you poo head ehehee. Turkey's good thankyou, warm and sunny and hot "
0,0,rt usrId left turkey make news about the murder in syria #cnnmoveyourdirtyhandsfromturkey,RT @busranurkoc: Left Turkey make news about the murder in Syria #CNNMoveYourDirtyHandsFromTurkey
0,1,rt usrId ntv did not broadcast usrId httpAddress the programme had a package about gezi park and press freedom httpAddress #,RT @goktay: NTV did not broadcast @bbcturkce today. The programme had a package about Gezi Park and press freedom: http://t.co/0Hj5abKdPe #
0,1,rt usrId days of intense protests in turkey prompt the question is this a turkish spring ? httpAddress,"RT @theblaze: Days of intense protests in Turkey prompt the question: Is this a ""Turkish Spring""? http://t.co/qUc8BfUQxW"
0,0,rt usrId i m very proud of #turkey and its achievement my god protect turkey its people and protect prime minster erdogan #istanbul,"RT @MaherZain: I'm very proud of #turkey and its achievement my God protect turkey , its people and protect prime minster Erdogan #istanbul"
0,1,rt usrId people in turkey have started to write #direngeziparki on httpAddress #occupygezi httpAddress,RT @Unidadpopular_a: People in Turkey have started to write #direngeziparki on bills.. #occupygezi http://t.co/B5awWxxlhC
1,1,rt usrId polices are using plastic bullets ! look at this ! #capulculartaksime #occupygezi usrId usrId usrId usrId http,RT @htottenham1907: Polices are using plastic bullets!LOOK at this!#capulculartaksime #occupygezi @BBCWorld @cnni @TheRedHack @SkyNews http
1,1,rt usrId some claim molotov throwers are police but there are lots of reports i personally trust on the httpAddress #occupygezi,"RT @myriamonde: some claim molotov throwers are police, but there are lots of reports i personally trust on the contrary. #occupygezi"
0,0,yo httpAddress try turkey bacon wrapped turkey httpAddress even better !,Yo @gxldpevrls... Try turkey bacon wrapped turkey burgers...... Even better!
0,0,solidarity with the people of #turkey,Solidarity with the people of #Turkey
0,0,rt usrId #stoplyingcnn you cant bear turkey is growing rapidly and be a super power step by httpAddress for sure you ve never witnessed w,RT @maximcruise: #stoplyingCNN you cant bear Turkey is growing rapidly and be a super power step by step. for sure you've never witnessed w
0,0,rt usrId our very first day in istanbul ! any handy tips from fellow lonely planeters !? #lp #firstdayproblems,RT @iamnotmrhickish: Our very first day in Istanbul! Any handy tips from fellow lonely planeters!? #lp #firstdayproblems
0,0,usrId i m seeing it wrong everywhere in regards to what s happening in httpAddress grates my nerves something wicked !,@andrewjsimmonds I'm seeing it wrong everywhere in regards to what's happening in Turkey. Grates my nerves something wicked!
0,1,rt usrId after heavy clashes in #ankara last night today s slogan of #taksim is resist ankara #stanbul is with you httpAddress,"RT @zeynep_erdim: After heavy clashes in #Ankara last night, today's slogan of #Taksim is ""resist Ankara #stanbul is with you"" http://t.co"
0,1,rt usrId another photo of gezi park clean up this morning in istanbul httpAddress,RT @Greenpeace: Another photo of Gezi Park clean up this morning in Istanbul https://t.co/EKqdaGn4ii
0,1,occupy turkey activists arrested for social media posts amid httpAddress httpAddress via usrId,Occupy Turkey: Activists arrested for social media posts amid crack...: http://t.co/ZSxl0Jd7uQ via @youtube
0,0,rt usrId istanbul rising the documentary the real story httpAddress usrId usrId usrId,RT @Kader__Sevinc: Istanbul rising - The Documentary - The real story http://t.co/JjCyHfzc45 @BarrosoEU @StefanFuleEU @HFlautre
0,1,rt usrId what started as a small protest in a tiny park has become a movement that won t disappear httpAddress #occupygezi,RT @Newsweek: What started as a small protest in a tiny park has become a movement that won't disappear http://t.co/xYPRWHGLLc #OccupyGezi
1,1,police attack irregularly in httpAddress parties ngos and revolutionary organisations decide to camp out in the httpAddress #occupygezi,police attack irregularly in ankara. parties ngos and revolutionary organisations decide to camp out in the square. #occupygezi
0,1,rt usrId here s the latest bbc report on protests in httpAddress sunday night saw worst violence httpAddress we ll cover on httpAddress httpAddress,RT @BBCRosAtkins: Here's the latest BBC report on protests in Turkey. Sunday night saw worst violence yet. We'll cover on @bbc_whys. http:/
0,1,the activists are cleaning up the garbage in gezi park and taksim right now ! #direngeziparki httpAddress,The activists are cleaning up the garbage in Gezi Park and Taksim right now! #direngeziparki http://t.co/Mq7kA1tTgP
0,0,rt usrId more urban women join the workforce in turkey httpAddress,RT @HDNER: More urban women join the workforce in Turkey http://t.co/cbLJ1AFLF8
1,1,rt usrId after mayor s promise of no intervention the families even kids were at httpAddress all attacked by massive tear gas and fier,"RT @ETemelkuran: After mayor's promise of no intervention the families, even kids were at Taksim. All attacked by massive tear gas and fier"
0,0,a brief history of what has happened in turkey in the last few httpAddress,"A brief history of what has happened in Turkey in the last few days:
http://t.co/UrgYriOHTe"
0,0,usrId ts wrong mr. httpAddress next week in turkey you will learn all the httpAddress,@richardhorton1 ts wrong Mr. Horton. Next week in Turkey you will learn all the truth.
0,0,rt usrId #turkey how any government deals with the media says a lot about what it really thinks about freedom of expression httpAddress,RT @_ChrisMorris: #Turkey How any government deals with the media says a lot about what it really thinks about freedom of expression http:/
0,0,rt usrId cbc journalists say they ve been released by httpAddress #sasapetricic and #derekstoffelcbc were arrested in httpAddress,RT @CBCAlerts: CBC journalists say they've been released by Turkey. #sasapetricic and #derekstoffelcbc were arrested in #Istanbul.
0,0,rt usrId sheikh imran hussain the zionist jihad in syria httpAddress via usrId #saudiarabia #turkey #egypt #qata,RT @AnjumKiani: Sheikh Imran Hussain : The Zionist Jihad in Syria : https://t.co/jsbZz0RVTS via @SafeensS #SaudiArabia #Turkey #Egypt #Qata
0,0,if i get sunburnt here in about DD degrees in one httpAddress have no idea how i m going to survive two weeks in turkey in httpAddress,If I get sunburnt here in about 15 degrees in one morning...I have no idea how I'm going to survive two weeks in Turkey in August.
0,1,rt usrId rt usrId #turkey you are not alone !! #occupygezi #gezi # solidarity httpAddress via nyxxisnite,RT @CHz89: RT @Crystalsees: #Turkey You Are Not Alone!! #OccupyGezi #Gezi # Solidarity http://t.co/ciCIHg22Sq via@Nyxxisnite
0,0,rt usrId #turkey #lira is worst performer since DD crisis among DD major currencies in europe middle east africa and httpAddress,"RT @MarkABentley: #Turkey #lira is worst performer since 2008 crisis among 30 major currencies in Europe, Middle East, Africa and Asia."
1,1,rt usrId dear united httpAddress our government has gone crazy and police forces trying to kill all the people in httpAddress please help,RT @suyorumcusu: Dear United Nations. Our government has gone crazy and police forces trying to kill all the people in Taksim. Please help 
0,1,rt usrId place #taksim at this time #occupygezi #turkey httpAddress via usrId,RT @LegionJJ: Place #Taksim at this time #OccupyGezi #Turkey http://t.co/bP1fOV6HoA Via @PlaceTaksim
0,1,42 for #peoplepower ! iman84nl hi world this is what a real revolution looks like ! #turkey right now ! #direngezi httpAddress,"+42 for #PeoplePower! ""@Iman84NL Hi world, this is what a real revolution looks like! #Turkey right now!"" #direngezi http://t.co/tVEmOpEkJY"
0,0,#bumpshowmeetbieber stanbul turkey x166,#BumpShowMeetBieber stanbul Turkey x166
1,1,rt usrId D protesters killed in turkey so far httpAddress via usrId,RT @Feni_55_Crystal: 3 protesters killed in Turkey so far http://t.co/wRJJ0phEQ1 via @sharethis
0,0,in istanbuls heart leaders obsession perhaps achilles heel httpAddress,"In Istanbuls Heart, Leaders Obsession, Perhaps Achilles Heel http://t.co/fwyrL9Rr8q"
1,1,rt usrId why is police again using violence in #taksim ? why some protesters are answering to police s provocations ? gezi people st,RT @MiguelAEGEE: Why is police again using violence in #Taksim? Why some protesters are answering to police's provocations? Gezi people: st
0,0,america rode out on turkey with this revolution talk and you sheep followed httpAddress now the country we all love is in httpAddress well httpAddress,America rode out on Turkey with this revolution talk and you sheep followed through. Now the country we all love is in ruins. Well done.
0,0,i m at has petrol bodrum turgutreis turkey httpAddress,"I'm at Has Petrol-Bodrum (Turgutreis, Turkey) http://t.co/KklAFenKkc"
0,0,usrId a guardian article on the sexual abuse of kurdish women in turkish httpAddress httpAddress #everydaysexism,@EverydaySexism A Guardian article on the sexual abuse of Kurdish women in Turkish prisons. http://t.co/dJy401orMe #everydaysexism
1,1,rt usrId now it s all gone sour a 22 year old killed by a police bullet in httpAddress second confirmed death in #occupygezi httpAddress t,RT @cetincem: Now it's all gone sour: A 22-year-old killed by a police bullet in Antakya. Second confirmed death in #occupygezi protests. T
0,0,usrId i must find my way to httpAddress,@jpizzi I must find my way to Turkey...
0,0,she called DD to report her turkey kidnapped,She called 911 to report her turkey kidnapped
0,0,rt usrId httpAddress more powerful images from #turkey unrest via usrId httpAddress httpAddress httpAddress,RT @nycjim: Aftermath. More powerful images from #Turkey unrest via @reuters photographers. http://t.co/E163j5cVYK http://t.co/61ae2ShoDy
0,1,rt usrId bbc suspends partnership with ntv turkish news channel #occupygezi #turkey httpAddress,RT @nazankayali: BBC suspends partnership with NTV (Turkish news channel) #occupygezi #turkey http://t.co/8breHHIj3A
0,0,congratulations finished in two days ! greetings from turkey usrId httpAddress,congratulations finished in two days! greetings from Turkey :) @E_L_James http://t.co/WxbALCjkTe
0,0,rt usrId turkey is now being punished as well for standing up to httpAddress seculars alawites israelis anti islamist west all j,"RT @ZaidZamanHamid: Turkey is now being punished as well for standing up to Israel. Seculars, Alawites, Israelis, anti-Islamist West all j"
0,0,usrId women are second class in there religion thats why i don t understand it as i ve been to turkey which is a muslim country and,"@TommoSimon women are second class in there religion thats why, i don't understand it as I've been to turkey which is a muslim country and"
0,0,rt usrId dont shoot the messenger human rights in #turkey httpAddress shameful #turkish press as i mention httpAddress,"RT @EmreDeliveli: Dont shoot the messenger | Human Rights in #Turkey http://t.co/72eHIKESMQ Shameful #Turkish press,as I mention http://t."
0,0,update 1 istanbul exchange to choose partner in q3 before listing chairman turkey has merged the istanbul httpAddress httpAddress,UPDATE 1-Istanbul exchange to choose partner in Q3 before listing-chairman: Turkey has merged the Istanbul Sto... http://t.co/VIO7lVxRkr
0,1,rt usrId #turkey #gezipark #taksim protests httpAddress httpAddress httpAddress #occupygezi,RT @insanhaklarimiz: #TURKEY #GEZIPARK #TAKSIM PROTESTS https://t.co/9VC8h9R2tV https://t.co/w1sxbtfvTl https://t.co/MXvV5ArhMf #occupygezi
0,1,everyday we re chapulling in such an amazing way ! #direngezi #direnizmir #direnturkiye #occupygezi httpAddress,Everyday we're chapulling in such an amazing way! #direngezi #direnizmir #direnturkiye #occupygezi http://t.co/F1sPmPvF4W
0,0,at height of political career erdogan s powers put to test haaretz httpAddress,"At height of political career, Erdogan's powers put to test - Haaretz http://t.co/GHFuz45gIF"
1,1,rt usrId photo tear gas water cannon continue to be deployed by turkish police in #taksim square httpAddress httpAddress,RT @BBCBreaking: PHOTO: Tear gas water cannon continue to be deployed by Turkish police in #Taksim Square http://t.co/S0m34hLjxE http://t
0,1,usrId taksim square in istanbul activists entered the police httpAddress in ankara police using chemical httpAddress,"@GreensEP Taksim Square in Istanbul, activists entered the police retreated. In Ankara, police using chemical gas."
0,0,the turkey thug box httpAddress rt usrId,The Turkey Thug Box http://t.co/8fxbWW5d9I RT @SportsmansLife
0,1,turkish protesters call for continued demonstrations erdogan defiant haaretz httpAddress httpAddress usrId,"Turkish protesters call for continued demonstrations, Erdogan defiant - HAARETZ http://t.co/nQfO1uJ4vt /cc @SaloumehZ"
1,1,rt usrId this picture is from early httpAddress #istanbul looks laterally like a war httpAddress #direngeziparki #occupygezi httpAddress,RT @YourAnonNews: This picture is from early today. #Istanbul looks laterally like a war zone. #direngeziparki #occupygezi http://t.co/rEmD
0,0,rt usrId hilaldemir of course our comrade usrId did this httpAddress that everyone is filling with social p,"RT @occupybrussels: ""@hilaldemir of course, our comrade @buzzworkers did this http://t.co/MCdRdiuHLN that everyone is filling with social p"
0,0,rt usrId turkey needs support from the international httpAddress follow share stay httpAddress #sesvertrkiyebulkesahipsizdeil,"RT @sercil: Turkey needs support from the international community. Follow, Share, Stay tuned. #SesVerTrkiyeBulkeSahipsizDeil"
0,0,usrId made us some turkey hamburgers and they re fucking delicious !!,@lgnxo made us some turkey hamburgers and they're fucking delicious!!!
0,1,rt usrId usrId women on the front lines of 344056242970427392 mon jun DD 11 39 35 00 2013 i want to take pictures of the city of httpAddress jun DD 11 39 55 00 2013 check this article ! httpAddress jun DD 11 39 59 00 2013 turkey s opposition leader says erdogan throwing society into the fire httpAddress usrId jun DD 11 40 09 00 2013 rt usrId rt usrId who supports #erdogan in #turkey at what ? httpAddress 4 increased since DD httpAddress jun DD 11 40 21 00 2013 we are looking for a principal geologist for a mining httpAddress role based in httpAddress httpAddress #mining #miningjobs 344056532385796097 mon jun DD 11 40 44 00 2013 rt usrId turkey s eu minister calls protests an operation to prevent turkey and its economy from growing and ending terrorism httpAddress jun DD 11 40 51 00 2013 rt usrId the new dictator ! and the fall httpAddress soon everywhere on internet ! #occupygezi #direngeziparki #provokatrtayyip http 344056586878205952 mon jun DD 11 40 57 00 2013 rt usrId istanbul united ne lan ? forever gala httpAddress jun DD 11 41 18 00 2013 rt usrId istanbul united ne lan ? forever gala httpAddress jun DD 11 41 23 00 2013 rt usrId national geographic received a huge assignment from #erdogan to produce 24 hrs of nonstop penguin documentary for turkish medi 3440567768DD974656 mon jun DD 11 41 42 00 2013 washingtonpost turkish people are behind its president httpAddress provocateurs are not the httpAddress we are talking about DD million httpAddress jun DD 11 41 48 00 2013 lubnanli bir arkadasin gezi yorumu we are all living the same challenges against corrupt governments and horrendous corporations,"RT @ataturksociety: @Nurlinka Women on the Front Lines of 
344056242970427392,Mon Jun 10 11:39:35 +0000 2013,I want to take pictures of the city Of Istanbul.
344056328077078528,Mon Jun 10 11:39:55 +0000 2013,Check this article! http://t.co/LIGs36lZjX
344056345135300608,Mon Jun 10 11:39:59 +0000 2013,Turkey's opposition leader says Erdogan 'throwing society into the fire' http://t.co/RnESon5hzO @CTVNews
344056386130415616,Mon Jun 10 11:40:09 +0000 2013,RT @Anti_Hasina: RT @basherkella: Who supports #Erdogan in #Turkey at what %? Research. 4% increased since 2012 http://t.co/REyUNad67s
344056435904233473,Mon Jun 10 11:40:21 +0000 2013,We are looking for a Principal Geologist for a mining consultancy. Role based in Turkey. http://t.co/IhoJk55JcA #mining #miningjobs
344056532385796097,Mon Jun 10 11:40:44 +0000 2013,RT @rodrikdani: Turkey's EU minister calls protests an operation to prevent Turkey and its economy from growing and ending terrorism http:/
344056561271980032,Mon Jun 10 11:40:51 +0000 2013,RT @DesertAnarchist: The New Dictator! And the fall of... Soon everywhere on Internet! #occupygezi #direngeziparki #ProvokatrTayyip http:
344056586878205952,Mon Jun 10 11:40:57 +0000 2013,RT @Sagokajomer: Istanbul United ne lan? Forever Gala boys.
344056676846026752,Mon Jun 10 11:41:18 +0000 2013,RT @Sagokajomer: Istanbul United ne lan? Forever Gala boys.
344056698325057536,Mon Jun 10 11:41:23 +0000 2013,RT @mikkael: National Geographic received a huge assignment from #Erdogan to produce 24-hrs of nonstop penguin documentary for turkish medi
344056776875974656,Mon Jun 10 11:41:42 +0000 2013,@washingtonpost Turkish people are behind its president Erdogan. Provocateurs are not the people. We are talking about 75 million here.
344056802628993025,Mon Jun 10 11:41:48 +0000 2013,""Lubnanli bir arkadasin Gezi yorumu:""we are all living the same challenges against corrupt governments and horrendous corporations"""
0,1,rt usrId turkey protester dresses up as police after stealing helmet shield and baton from security forces by umit bektas httpAddress,"RT @pdacosta: Turkey protester dresses up as police after stealing helmet, shield and baton from security forces (by Umit Bektas) http://t."
0,0,my managers better than yours #holiday #turkey #employeeoftheyear #cocktails httpAddress,My managers better than yours #holiday #turkey #employeeoftheyear #cocktails http://t.co/JRdaaykQGo
1,1,usrId were wounded some serious because of the bulldozers on the curtains 345997004696064003 sat jun DD 20 11 28 00 2013 rt usrId police attack doctors and injured in gezi park 345997014074523648 sat jun DD 20 11 31 00 2013 turkey is under attack by its own police ! nytimes usrId usrId usrId usrId usrId usrId usrId usrId usrId httpAddress jun DD 20 11 33 00 2013 rt usrId usrId police attacking people in divan hotel httpAddress stopping cameras recording and cutting internet communication,"@LianaMistretta:""many were wounded some serious because of the bulldozers on the curtains""
345997004696064003,Sat Jun 15 20:11:28 +0000 2013,""RT @OccupyWallSt: Police Attack Doctors and Injured in Gezi Park
345997014074523648,Sat Jun 15 20:11:31 +0000 2013,Turkey is under attack by its own Police !@nytimes @cnni @FRANCE24 @ZDF @RaiTv @BBCWorld @BBCNews @CNNEE @RTLde @RTLFrance ..
345997025814396929,Sat Jun 15 20:11:33 +0000 2013,""RT @Mr_GerardCooke: @BBCWorld Police attacking people in Divan hotel, Taksim. Stopping cameras recording and cutting internet communication"
0,1,rt usrId good morning istanbul ! it is 3 15 am but nobody in harbiye or osmanbey is httpAddress pots and pans and car horns and marchers,RT @kitabet: Good morning Istanbul! It is 3:15 am but nobody in harbiye or osmanbey is sleeping. Pots and pans and car horns and marchers 
0,0,rt usrId from anonymous greece share very important ! how to connect to the internet in turkey when your government httpAddress htt,"RT @istanbulLGBT: from: Anonymous Greece
Share, very important!
How to connect to the internet in Turkey when your government shut... htt"
1,1,via usrId another photo of female protester being sprayed by police #occupygezi #taksim httpAddress httpAddress,via @SulomeAnderson Another photo of female protester being sprayed by police #occupygezi #Taksim #Istanbul... http://t.co/yj0iZ02nez
0,0,usrId unfortunately history repeated execution adnan menderes than a coup against necmettin erbakan and erdogan s turn,"@NeimRamazanoglu Unfortunately, history repeated execution Adnan Menderes, than a coup against Necmettin Erbakan and Erdogan's turn"
0,0,usrId cold turkey baby ! i was using lozenges for day D then binned them as they were stronger nicotine than my normal httpAddress,@hey_whatsoever Cold Turkey baby! I was using lozenges for day 1 then binned them as they were stronger nicotine than my normal smokes.
1,1,rt usrId usrId usrId usrId animals are dying from police brutality because we only wanted to proctect the trees,RT @gulnur_sahin1: @IsinGormusELLE @SuhaDerbent @peta Animals are dying from police brutality because we only wanted to proctect the trees 
0,1,rt usrId we dont have internet connection here ! please help us to spread our voice ! this is istanbul ! #occupygezi #direngezi httpAddress,RT @pixeliris: We dont have internet connection here! Please help us to spread our voice! This is ISTANBUL! #occupygezi #direngezi http://t
0,1,rt usrId live video from turkey s istanbul taksim square httpAddress,RT @patrickdehahn: Live video from Turkey's Istanbul Taksim Square: http://t.co/ccz8GnX7I6
0,1,the voices of turkish protesters have been heard binnaz saktanber httpAddress via usrId #press #occupyturkey #occupygezi,The voices of Turkish protesters have been heard | Binnaz Saktanber http://t.co/Q4frWiWYjt via @guardian #press #occupyturkey #occupygezi
0,1,usrId its been said that police burning trees which are the origin cause of all taksim httpAddress usrId usrId,@cnni Its been said that police burning trees which are the origin cause of all Taksim resistance. @Reuters @BBCWorld
0,1,rt usrId riot police enter taksim square istanbul focus of ongoing anti government protest in turkey,"RT @BBCBreaking: Riot police enter Taksim Square, Istanbul, focus of ongoing anti-government protest in Turkey"
0,0,rt usrId great pic from turkey via usrId usrId httpAddress,RT @javierpascual: Great pic from Turkey (Via @nadiussky @lovelymessy) http://t.co/YgrFtQq6NP
0,0,now its my time #yns #akp,Now its my time #YnS #AKP
0,1,re youtube associatedpress raw protests heat up in turkey httpAddress,Re: YouTube - AssociatedPress: Raw: Protests Heat Up in Turkey http://t.co/4Xrh56BCSk
0,0,rt usrId and of course pm erdogan boasts with the economic success during his term his way of saying shut up and take your httpAddress #oc,RT @cetincem: And of course PM Erdogan boasts with the economic success during his term: His way of saying shut up and take your money. #oc
0,0,usrId i love turkey bacon hella bomb,@hahabri: I love Turkey bacon hella bomb 
0,0,rt usrId friends in morocco tunisia and httpAddress erdogan will be visiting your countries this httpAddress please organise him a welcome !,"RT @minikstar: Friends in Morocco, Tunisia and Algeria. Erdogan will be visiting your countries this week. Please organise him a welcome! "
