_unit_id,text_x,text_y,proccd_text_x,protest_x,protest_y,protest_confidence,violence_x,violence_y,violence_confidence,created_at_x,_golden_x
1657977949,RT @Bassem_Sabry: Turkish media ignoring the protests @aaronstein1: NTV is airing a cooking show - no I am not kidding #occupygezi http://,RT @Bassem_Sabry: Turkish media ignoring the protests @aaronstein1: NTV is airing a cooking show - no I am not kidding #occupygezi http://,rt usrId turkish media ignoring the protests usrId ntv is airing a cooking show no i am not kidding #occupygezi httpAddress,"1
1
1",1,1,"1
0
0",0,0.6676,Fri May 31 21:24:52 +0000 2013,FALSE
1657977950,"Turkey police crush protests in Ankara, Istanbul (PHOTOS, VIDEO)","Turkey police crush protests in Ankara, Istanbul (PHOTOS, VIDEO)",turkey police crush protests in ankara istanbul photos video,"1
0
1",1,0.6612,"1
1",1,1,Mon Jun 10 03:49:59 +0000 2013,FALSE
1657977951,"July 19, 2012 Turkeys Human Rights Hypocrisy https://t.co/S9snLccyhy","July 19, 2012 Turkeys Human Rights Hypocrisy https://t.co/S9snLccyhy",july 19 DD turkeys human rights hypocrisy httpAddress,"0
0
0",0,1,"
",,,Sat Jun 01 10:23:40 +0000 2013,FALSE
1657977953,RT @Kerim_Karakaya: Borsa Istanbul chapulled by %4.7 today. Its loses reached to %16 since chapullers chapulled!,RT @Kerim_Karakaya: Borsa Istanbul chapulled by %4.7 today. Its loses reached to %16 since chapullers chapulled!,rt usrId borsa istanbul chapulled by httpAddress httpAddress its loses reached to 16 since chapullers chapulled !,"0
0
0",0,1,"
",,,Fri Jun 07 09:34:14 +0000 2013,FALSE
1657977954,RT @skyyfitsheaven: Police detaining protestors in #direnankara confirmed. Residents being asked to open apt. doors to those needing to hid,RT @skyyfitsheaven: Police detaining protestors in #direnankara confirmed. Residents being asked to open apt. doors to those needing to hid,rt usrId police detaining protestors in #direnankara httpAddress residents being asked to open httpAddress doors to those needing to hid,"1
1
1",1,1,"1
1
0",1,0.6769,Wed Jun 12 23:29:49 +0000 2013,FALSE
1657977955,Guess everybody forgot London riots in 2011! And its' host!!!! http://t.co/LD6NOPPZ4R,Guess everybody forgot London riots in 2011! And its' host!!!! http://t.co/LD6NOPPZ4R,guess everybody forgot london riots in 2011 ! and its host !! httpAddress,"0
0
0",0,1,"
",,,Fri Jun 14 22:17:56 +0000 2013,FALSE
1657977956,CBS Riot police rush to crush renewed Turkey protests http://t.co/9f8PjZtOKM #news,CBS Riot police rush to crush renewed Turkey protests http://t.co/9f8PjZtOKM #news,cbs riot police rush to crush renewed turkey protests httpAddress #news,"1
0
1",1,0.625,"1
1",1,1,Sun Jun 16 11:41:34 +0000 2013,FALSE
1657977957,RT @Hevallo: Welcome to the revolution NTV! #OccupyGezi http://t.co/D9AImFEgvk #occupygezi #occupyturkey #revolution #turkey,RT @Hevallo: Welcome to the revolution NTV! #OccupyGezi http://t.co/D9AImFEgvk #occupygezi #occupyturkey #revolution #turkey,rt usrId welcome to the revolution ntv ! #occupygezi httpAddress #occupygezi #occupyturkey #revolution #turkey,"1
1
1",1,1,"0
0
0",0,1,Sat Jun 08 20:22:27 +0000 2013,FALSE
1657977959,"AKP genius created ""standing men"" standing against ""standing man."" #duranadam","AKP genius created ""standing men"" standing against ""standing man."" #duranadam",akp genius created standing men standing against standing httpAddress #duranadam,"0
1
1",1,0.6594,"
0
0",0,1,Wed Jun 19 14:10:02 +0000 2013,FALSE
1657977960,"RT @Zeinobia: All solidarity with the Turkish protesters in #Turkey though , the Turkish regime should learn from its neighbors in Mideast","RT @Zeinobia: All solidarity with the Turkish protesters in #Turkey though , the Turkish regime should learn from its neighbors in Mideast",rt usrId all solidarity with the turkish protesters in #turkey though the turkish regime should learn from its neighbors in mideast,"1
0
0",0,0.6496,"0
",0,1,Sun Jun 02 18:24:59 +0000 2013,FALSE
1657977961,RT @petercnm: The world is watching this. Be strong! #occupygezi,RT @petercnm: The world is watching this. Be strong! #occupygezi,rt usrId the world is watching httpAddress be strong ! #occupygezi,"1
1
1",1,1,"0
0
0",0,1,Tue Jun 11 19:31:33 +0000 2013,FALSE
1657977964,RT @Jakeyynewmss: My brother's just fucked off to turkey with his slam peice that prick can go on holiday but i can't #jokes,RT @Jakeyynewmss: My brother's just fucked off to turkey with his slam peice that prick can go on holiday but i can't #jokes,rt usrId my brother s just fucked off to turkey with his slam peice that prick can go on holiday but i can t #jokes,"0
0
0",0,1,"
",,,Wed Jun 19 07:13:56 +0000 2013,FALSE
1657977966,#KiralkKatilAHMETAHBAZ is the name of the cop who shot and killed an unarmed protester in Turkey and got released in court.,#KiralkKatilAHMETAHBAZ is the name of the cop who shot and killed an unarmed protester in Turkey and got released in court.,#kiralkkatilahmetahbaz is the name of the cop who shot and killed an unarmed protester in turkey and got released in httpAddress,"0
0
0",0,1,"
",,,Mon Jun 24 14:58:59 +0000 2013,FALSE
1657977968,"RT @MashallahNews: Hi everyone, we're closing down our live blog for #OccupyGezi. As a volunteer collective, we can't keep up this rate of ","RT @MashallahNews: Hi everyone, we're closing down our live blog for #OccupyGezi. As a volunteer collective, we can't keep up this rate of ",rt usrId hi everyone we re closing down our live blog for httpAddress as a volunteer collective we can t keep up this rate of,"1
1
0",1,0.672,"0
0
",0,1,Sun Jun 09 17:49:42 +0000 2013,FALSE
1657977969,New form of protest in Turkey: standing silently: http://t.co/Czn5dPooxO,New form of protest in Turkey: standing silently: http://t.co/Czn5dPooxO,new form of protest in turkey standing silently httpAddress,"1
0
0",0,0.6767,"0
",0,1,Tue Jun 18 11:47:49 +0000 2013,FALSE
1657977970,Protesters blocking bulldozers tear gassed in Istanbul http://t.co/G9Riv8k1F8 #direngezipark,Protesters blocking bulldozers tear gassed in Istanbul http://t.co/G9Riv8k1F8 #direngezipark,protesters blocking bulldozers tear gassed in istanbul httpAddress #direngezipark,"1
1
1",1,1,"1
1
0",1,0.6875,Fri May 31 14:35:57 +0000 2013,FALSE
1657977971,RT @zorluhanzorlu: Washington Post: A guide to what is happening at Gezi Park http://t.co/GDFK8uaNLQ,RT @zorluhanzorlu: Washington Post: A guide to what is happening at Gezi Park http://t.co/GDFK8uaNLQ,rt usrId washington post a guide to what is happening at gezi park httpAddress,"1
1
1",1,1,"0
0
0",0,1,Sat Jun 01 05:59:18 +0000 2013,FALSE
1657977973,"Status update from Turkey 10 hours ago: Many reporters, EU ministers, and others commenting on the situation in... http://t.co/KASAr7sqE9","Status update from Turkey 10 hours ago: Many reporters, EU ministers, and others commenting on the situation in... http://t.co/KASAr7sqE9",status update from turkey DD hours ago many reporters eu ministers and others commenting on the situation httpAddress httpAddress,"0
0
1",0,0.6757,"
0",0,1,Tue Jun 18 18:00:04 +0000 2013,FALSE
1657977974,"""@paulocoelho: Shame on us: tear gas used in Turkey against demonstrators is Made in Brasil @iavelar http://t.co/G1geE2lNEn""","""@paulocoelho: Shame on us: tear gas used in Turkey against demonstrators is Made in Brasil @iavelar http://t.co/G1geE2lNEn""",paulocoelho shame on us tear gas used in turkey against demonstrators is made in brasil usrId httpAddress,"0
0
1",0,0.6667,"
1",1,1,Tue Jun 04 22:19:42 +0000 2013,FALSE
1657977975,[IFJ] Journalists Call for International Action to End Crackdown on Media in Turkey http://t.co/jbaFHQ3lLz,[IFJ] Journalists Call for International Action to End Crackdown on Media in Turkey http://t.co/jbaFHQ3lLz,ifj journalists call for international action to end crackdown on media in turkey httpAddress,"0
1
0",0,0.6676,"
0
",0,1,Mon Jun 17 16:51:46 +0000 2013,FALSE
1657977977,@tarafgir what's coming on in turkey? :/,@tarafgir what's coming on in turkey? :/,usrId what s coming on in turkey ? httpAddress,"0
0
1",0,0.6581,"
0",0,1,Fri Jun 07 13:37:00 +0000 2013,FALSE
1657977978,RT @nytimes: Turkey Premier Says Protests Will Not Stop Plans to Demolish Park http://t.co/zvwF0TEfi5,RT @nytimes: Turkey Premier Says Protests Will Not Stop Plans to Demolish Park http://t.co/zvwF0TEfi5,rt usrId turkey premier says protests will not stop plans to demolish park httpAddress,"1
0
0",0,0.6496,"0
",0,1,Mon Jun 03 21:40:27 +0000 2013,FALSE
1657977979,RT @moniquejaques: Whoever thought of this piano concert is a genius. Tensions diffused and #taksim back to usual. #istanbul http://t.co/d,RT @moniquejaques: Whoever thought of this piano concert is a genius. Tensions diffused and #taksim back to usual. #istanbul http://t.co/d,rt usrId whoever thought of this piano concert is a httpAddress tensions diffused and #taksim back to httpAddress #istanbul httpAddress,"1
1
0",1,0.6622,"0
0
",0,1,Wed Jun 12 21:33:22 +0000 2013,FALSE
1657977980,Living off turkey cheese,Living off turkey cheese,living off turkey cheese,"0
0
0",0,1,"
",,,Sun Jun 09 06:04:20 +0000 2013,FALSE
1657977981,#Turkey: Update: Turkey braces for second day of unrest. Parts of #Instambul closed off. http://t.co/CfORug205a,#Turkey: Update: Turkey braces for second day of unrest. Parts of #Instambul closed off. http://t.co/CfORug205a,#turkey update turkey braces for second day of httpAddress parts of #instambul closed httpAddress httpAddress,"0
0
0",0,1,"
",,,Sat Jun 01 06:10:33 +0000 2013,FALSE
1657977982,White turkey!!,White turkey!!,white turkey !!,"0
0
0",0,1,"
",,,Sat Jun 22 16:31:09 +0000 2013,FALSE
1657977983,"Protests in Istanbul, Turkey: Photographs of Turkish police using tear gas and water cannon to disperse people... http://t.co/4zZa0DOK8a","Protests in Istanbul, Turkey: Photographs of Turkish police using tear gas and water cannon to disperse people... http://t.co/4zZa0DOK8a",protests in istanbul turkey photographs of turkish police using tear gas and water cannon to disperse httpAddress httpAddress,"0
1
0",0,0.6738,"
1
",1,1,Fri May 31 23:17:31 +0000 2013,FALSE
1657977984,Muffy VanderBear Dressed as Pilgrim and Turkey Complete 1990 Thanksgiving $12.00 http://t.co/olzz0k7bhs #Bear #Muffy,Muffy VanderBear Dressed as Pilgrim and Turkey Complete 1990 Thanksgiving $12.00 http://t.co/olzz0k7bhs #Bear #Muffy,muffy vanderbear dressed as pilgrim and turkey complete DD thanksgiving httpAddress httpAddress #bear #muffy,"0
0
0",0,1,"
",,,Sat Jun 22 22:01:42 +0000 2013,FALSE
1657977985,"RT @zeynep: Well, this was coming. Penguins join #occupyGezi Stencils coming out of Gezi are amazing. h/t @enginonder http://t.co/QiWmFePKo1","RT @zeynep: Well, this was coming. Penguins join #occupyGezi Stencils coming out of Gezi are amazing. h/t @enginonder http://t.co/QiWmFePKo1",rt usrId well this was httpAddress penguins join #occupygezi stencils coming out of gezi are httpAddress httpAddress usrId httpAddress,"1
1
1",1,1,"0
0
0",0,1,Sat Jun 08 05:37:01 +0000 2013,FALSE
1657977986,"RT @BenjaminHarvey: Erdogan continues to speak as if he's an opponent and not the PM of those in the squares also, which is why they're the","RT @BenjaminHarvey: Erdogan continues to speak as if he's an opponent and not the PM of those in the squares also, which is why they're the",rt usrId erdogan continues to speak as if he s an opponent and not the pm of those in the squares also which is why they re the,"0
0
0",0,1,"
",,,Sun Jun 09 10:33:58 +0000 2013,FALSE
1657977987,@emilyhaddigan_ got to be in it to win it :) lol if u win it drinks in u in turkey ,@emilyhaddigan_ got to be in it to win it :) lol if u win it drinks in u in turkey ,usrId got to be in it to win it lol if u win it drinks in u in turkey,"0
0
0",0,1,"
",,,Fri Jun 07 22:12:47 +0000 2013,FALSE
1657977988,"RT @Timcast: In #Istanbul reporting for @Vice. Activists reporting pressure from police, will launch live should anything happen. http://t.","RT @Timcast: In #Istanbul reporting for @Vice. Activists reporting pressure from police, will launch live should anything happen. http://t.",rt usrId in #istanbul reporting for httpAddress activists reporting pressure from police will launch live should anything httpAddress httpAddress,"1
0
0",0,0.644,"1
",1,1,Mon Jun 10 02:06:18 +0000 2013,FALSE
1657977990,"RT @YourAnonLive: LIVE: #Taksim square now on air
342692132441686016,Thu Jun 06 17:19:05 +0000 2013,Turkey sandwiches get old after a week!!! #ohwell
342692168110059520,Thu Jun 06 17:19:14 +0000 2013,""My famous Breakfast Beast-wich! 4-egg whites, 4 pieces of Turkey bacon, on a whole wheat bagel. http://t.co/oHh0Rbpxyn","RT @YourAnonLive: LIVE: #Taksim square now on air
342692132441686016,Thu Jun 06 17:19:05 +0000 2013,Turkey sandwiches get old after a week!!! #ohwell
342692168110059520,Thu Jun 06 17:19:14 +0000 2013,""My famous Breakfast Beast-wich! 4-egg whites, 4 pieces of Turkey bacon, on a whole wheat bagel. http://t.co/oHh0Rbpxyn",rt usrId live #taksim square now on air 3D2692132DD1686016 thu jun DD 17 19 05 00 2013 turkey sandwiches get old after a week !! #ohwell 3D2692168110059520 thu jun DD 17 19 1D 00 2013 my famous breakfast beast wich ! D egg whites D pieces of turkey bacon on a whole wheat httpAddress httpAddress,"0
0
0",0,1,"
",,,Thu Jun 06 17:18:57 +0000 2013,FALSE
1657977991,RT @zeynep: I think this is the last pic I managed to take. See gas cloud landing in the middle of crowded area. #occupygezi http://t.co/w,RT @zeynep: I think this is the last pic I managed to take. See gas cloud landing in the middle of crowded area. #occupygezi http://t.co/w,rt usrId i think this is the last pic i managed to httpAddress see gas cloud landing in the middle of crowded httpAddress #occupygezi httpAddress,"1
1
0",1,0.6645,"1
0
",1,0.5135,Tue Jun 11 18:30:17 +0000 2013,FALSE
1657977993,RT @YourAnonNews: Spartacus has arrived Gezipark! http://t.co/6Bc5XNcYtH #occupygezi - via @mavicorapli,RT @YourAnonNews: Spartacus has arrived Gezipark! http://t.co/6Bc5XNcYtH #occupygezi - via @mavicorapli,rt usrId spartacus has arrived gezipark ! httpAddress #occupygezi via usrId,"1
1
1",1,1,"0
0
0",0,1,Mon Jun 03 14:38:11 +0000 2013,FALSE
1657977994,Updates on Turkey and what you can do from Amnesty International: http://t.co/lXmuINSClo,Updates on Turkey and what you can do from Amnesty International: http://t.co/lXmuINSClo,updates on turkey and what you can do from amnesty international httpAddress,"0
0
0",0,1,"
",,,Mon Jun 03 11:08:23 +0000 2013,FALSE
1657977995,"RT @JoeWSJ: Here's the Pro-Erdogan newspaper Yeni afak today, with a messages on its front page in English http://t.co/cg7mMGafUQ","RT @JoeWSJ: Here's the Pro-Erdogan newspaper Yeni afak today, with a messages on its front page in English http://t.co/cg7mMGafUQ",rt usrId here s the pro erdogan newspaper yeni afak today with a messages on its front page in english httpAddress,"0
0
0",0,1,"
",,,Mon Jun 17 12:12:47 +0000 2013,FALSE
1657977996,#BumpShowMeetBieber stanbul Turkey x301,#BumpShowMeetBieber stanbul Turkey x301,#bumpshowmeetbieber stanbul turkey x301,"0
0
0",0,1,"
",,,Tue Jun 25 13:25:44 +0000 2013,FALSE
1657977997,Smh I just seen a turkey,Smh I just seen a turkey,smh i just seen a turkey,"0
0
0",0,1,"
",,,Tue Jun 25 14:26:43 +0000 2013,FALSE
1657977998,RT @Anon_Online: #Istanbul #Protestors holding their ground despite organized #Attacks by the #Police and #Fascist civilians. No retreating,RT @Anon_Online: #Istanbul #Protestors holding their ground despite organized #Attacks by the #Police and #Fascist civilians. No retreating,rt usrId #istanbul #protestors holding their ground despite organized #attacks by the #police and #fascist httpAddress no retreating,"1
0
1",1,0.625,"0
1",1,0.5,Sun Jun 16 19:34:30 +0000 2013,FALSE
1657977999,"RT @ZscottyB: I gotta say...I'm a pretty tough critic, but @BurgerKing's summer menu is spot on! The turkey burger is awesome!","RT @ZscottyB: I gotta say...I'm a pretty tough critic, but @BurgerKing's summer menu is spot on! The turkey burger is awesome!",rt usrId i gotta httpAddress a pretty tough critic but usrId summer menu is spot on ! the turkey burger is awesome !,"0
0
0",0,1,"
",,,Thu Jun 13 19:13:19 +0000 2013,FALSE
1657978001,"RT @rodrikdani: Stopped reading Davutoglu's oped at ""all segments of our society enjoy their basic rights under the rule of law."" http://t.","RT @rodrikdani: Stopped reading Davutoglu's oped at ""all segments of our society enjoy their basic rights under the rule of law."" http://t.",rt usrId stopped reading davutoglu s oped at all segments of our society enjoy their basic rights under the rule of httpAddress httpAddress,"0
0
0",0,1,"
",,,Mon Jun 17 12:43:13 +0000 2013,FALSE
1657978002,Randy David explains Turkey today in a nutshell http://t.co/a8cBVMJJ9z @inquirerdotnet,Randy David explains Turkey today in a nutshell http://t.co/a8cBVMJJ9z @inquirerdotnet,randy david explains turkey today in a nutshell httpAddress usrId,"0
0
0",0,1,"
",,,Thu Jun 06 05:37:04 +0000 2013,FALSE
1657978003,"RT @TurkeyEmergency: A friend in Istanbul asked a policeman about the taping of id numbers. ""They order us to do things and we get prosecut","RT @TurkeyEmergency: A friend in Istanbul asked a policeman about the taping of id numbers. ""They order us to do things and we get prosecut",rt usrId a friend in istanbul asked a policeman about the taping of id httpAddress they order us to do things and we get prosecut,"0
0
0",0,1,"
",,,Wed Jun 05 08:16:50 +0000 2013,FALSE
1657978004,RT @oopsjerry: #PleaseHelpTurkey #PrayForTurkey don't ignore them bc they aren't the USA pls pray for them and help them,RT @oopsjerry: #PleaseHelpTurkey #PrayForTurkey don't ignore them bc they aren't the USA pls pray for them and help them,rt usrId #pleasehelpturkey #prayforturkey don t ignore them bc they aren t the usa pls pray for them and help them,"0
0
0",0,1,"
",,,Sat Jun 01 19:26:36 +0000 2013,FALSE
1657978005,@mhairiedavidson get your arse back from Turkey I miss you already!! We should be whatsapp'ing!! http://t.co/Z5NcMKftB9,@mhairiedavidson get your arse back from Turkey I miss you already!! We should be whatsapp'ing!! http://t.co/Z5NcMKftB9,usrId get your arse back from turkey i miss you already !! we should be whatsapp ing !! httpAddress,"0
0
0",0,1,"
",,,Wed Jun 12 21:25:32 +0000 2013,FALSE
1657978006,RT @BBCWorld: #Turkey Prime Minister Erdogan to meet protesters at 20:00 GMT over plans to redevelop Istanbul's #Gezi Park http://t.co/X199,RT @BBCWorld: #Turkey Prime Minister Erdogan to meet protesters at 20:00 GMT over plans to redevelop Istanbul's #Gezi Park http://t.co/X199,rt usrId #turkey prime minister erdogan to meet protesters at 20 00 gmt over plans to redevelop istanbul s #gezi park httpAddress,"1
1
1",1,1,"0
0
0",0,1,Thu Jun 13 18:53:44 +0000 2013,FALSE
1657978007,"RT @iowahawkblog: ""It is a great pleasure to welcome my friend, Prime Minister Erdogan, back to the WH."" President Obama 5/16/2013 http://t","RT @iowahawkblog: ""It is a great pleasure to welcome my friend, Prime Minister Erdogan, back to the WH."" President Obama 5/16/2013 http://t",rt usrId it is a great pleasure to welcome my friend prime minister erdogan back to the httpAddress president obama httpAddress httpAddress,"0
0
0",0,1,"
",,,Thu Jun 20 22:40:35 +0000 2013,FALSE
1657978009,"RT @BeyazKule: Police detaining the doctors at Ramada Hotel for treating Gezipark protestors 
346216001152634880,Sun Jun 16 10:41:41 +0000 2013,Turkey EU Minister @EgemenBagis tweets link saying people need to know that anyone entering Taksim will be seen as a terrorist.
346216028210073601,Sun Jun 16 10:41:48 +0000 2013, \her yer Taksim her yer direni\everywhere is Taksim everywhere is resistance.
346216031305465856,Sun Jun 16 10:41:48 +0000 2013,RT @PieroCastellano: Letter to PM of #Turkey from World Medical Association (rep. 10 millions doctors in the world) https://t.co/aC7RHUOoAr
346216061223440384,Sun Jun 16 10:41:56 +0000 2013,http://t.co/3dVsCtpE7m. Turkish protesters responding to every instance of police violence with acts of kindness &amp; community.
346216069993734144,Sun Jun 16 10:41:58 +0000 2013,""RT @TheTurkishLife: Taksim Square roped off, police guarding each entrance. Surrounding streets quiet thus far.","RT @BeyazKule: Police detaining the doctors at Ramada Hotel for treating Gezipark protestors 
346216001152634880,Sun Jun 16 10:41:41 +0000 2013,Turkey EU Minister @EgemenBagis tweets link saying people need to know that anyone entering Taksim will be seen as a terrorist.
346216028210073601,Sun Jun 16 10:41:48 +0000 2013, \her yer Taksim her yer direni\everywhere is Taksim everywhere is resistance.
346216031305465856,Sun Jun 16 10:41:48 +0000 2013,RT @PieroCastellano: Letter to PM of #Turkey from World Medical Association (rep. 10 millions doctors in the world) https://t.co/aC7RHUOoAr
346216061223440384,Sun Jun 16 10:41:56 +0000 2013,http://t.co/3dVsCtpE7m. Turkish protesters responding to every instance of police violence with acts of kindness &amp; community.
346216069993734144,Sun Jun 16 10:41:58 +0000 2013,""RT @TheTurkishLife: Taksim Square roped off, police guarding each entrance. Surrounding streets quiet thus far.",rt usrId police detaining the doctors at ramada hotel for treating gezipark protestors 3462DD001152634880 sun jun DD DD 41 41 00 2013 turkey eu minister usrId tweets link saying people need to know that anyone entering taksim will be seen as a httpAddress jun DD DD 41 48 00 2013 her yer taksim her yer direni everywhere is taksim everywhere is httpAddress jun DD DD 41 48 00 2013 rt usrId letter to pm of #turkey from world medical association httpAddress DD millions doctors in the world httpAddress jun DD DD 41 56 00 httpAddress turkish protesters responding to every instance of police violence with acts of kindness amp ,"1
1
1",1,1,"1
1
0",1,0.6581,Sun Jun 16 10:41:39 +0000 2013,FALSE
1657978010,"OCCUPY TURKEY
""Put Humanity First, way above Class Superiority, because once people are reduced to the Elite's few... http://t.co/OxZovWUfc0","OCCUPY TURKEY
""Put Humanity First, way above Class Superiority, because once people are reduced to the Elite's few... http://t.co/OxZovWUfc0",occupy turkey put humanity first way above class superiority because once people are reduced to the elite s httpAddress httpAddress,"0
0
0",0,1,"
",,,Sat Jun 22 09:59:45 +0000 2013,FALSE
1657978012,@RT_com: Riot police fire water cannon at protester in wheelchair at #Taksim http://t.co/ofQOGqNfKE #occupygezi,@RT_com: Riot police fire water cannon at protester in wheelchair at #Taksim http://t.co/ofQOGqNfKE #occupygezi,usrId riot police fire water cannon at protester in wheelchair at #taksim httpAddress #occupygezi,"1
1
1",1,1,"1
1
1",1,1,Wed Jun 12 18:49:45 +0000 2013,FALSE
